Study Abbreviation V10
Adipose_Subcutaneous
Adipose_Visceral
Adrenal_Gland
Artery_Aorta
Artery_Coronary
Artery_Tibial
Bladder
Brain_Amygdala
Brain_Anterior_cingulate_cortex
Brain_Caudate
Brain_Cerebellar_Hemisphere
Brain_Cerebellum
Brain_Cortex
Brain_Frontal_Cortex
Brain_Hippocampus
Brain_Hypothalamus
Brain_Nucleus_accumbens
Brain_Putamen
Brain_Spinal_cord
Brain_Substantia_nigra
Breast_Mammary_Tissue
Cells_Cultured_fibroblasts
Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix
Cervix_Endocervix
Colon_Sigmoid
Colon_Transverse
Colon_Transverse_Mixed_Cell
Colon_Transverse_Mucosa
Colon_Transverse_Muscularis
Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa
Esophagus_Muscularis
Fallopian_Tube
Heart_Atrial_Appendage
Heart_Left_Ventricle
Kidney_Cortex
Kidney_Medulla
Liver
Liver_Hepatocyte
Liver_Mixed_Cell
Liver_Portal_Tract
Lung
Minor_Salivary_Gland
Muscle_Skeletal
Nerve_Tibial
Ovary
Pancreas
Pancreas_Acini
Pancreas_Islets
Pancreas_Mixed_Cell
Pituitary
Prostate
Skin_Not_Sun_Exposed
Skin_Sun_Exposed
Small_Intestine_Terminal_Ileum
Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate
Small_Intestine_Terminal_Ileum_Mixed_Cell
Spleen
Stomach
Stomach_Mixed_Cell
Stomach_Mucosa
Stomach_Muscularis
Testis
Thyroid
Uterus
Vagina
Whole_Blood
